Installed apps:

Name            Version       Source Updated             Info
----            -------       ------ -------             ----
7zip            26.02         main   2026-07-08 16:19:40     
claude-code     2.1.204       main   2026-07-08 16:33:32     
gcc             15.2.0        main   2026-07-08 16:34:19     
mongodb         8.3.4         main   2026-07-08 16:35:46     
mongodb-compass 1.49.8        extras 2026-07-08 17:01:29     
mongosh         2.9.2         extras 2026-07-08 16:36:26     
mysql           9.7.1         main   2026-07-08 16:37:24     
mysql-shell     9.7.1         main   2026-07-08 16:43:10     
vcredist2022    14.51.36247.0 extras 2026-07-08 16:36:51     


